109 8  8
Station_Location: N-S
 -405000  378000  174000   90000   42000   30000  -18000
 -102000  -90000 -102000 -162000 -174000 -234000 -234000
 -306000 -306000 -378000 -378000   54000   30000   18000
   54000  -18000  -30000  -30000  -30000  -30000  -30000
  -30000  -18000  -90000  -90000 -102000  -90000 -102000
 -114000 -102000 -162000 -162000 -198000 -162000 -186000
 -162000 -186000 -174000 -234000 -234000 -258000 -258000
 -258000 -246000 -246000 -246000 -294000 -294000 -318000
 -330000 -318000 -306000 -318000 -318000 -318000 -366000
 -366000 -378000 -390000 -390000 -390000 -378000 -390000
  -90000  354000  390000  378000  294000  294000  294000
  330000  330000  330000  306000  246000  258000  258000
  258000  246000  246000  246000  246000  186000  174000
  198000  198000  186000  186000  186000  174000  126000
  114000  114000  114000  102000  114000  102000  114000
   42000   30000   30000   42000
Station_Location: E-W
 -354000  270000  282000  294000  294000  366000  294000
  258000  318000  405000  246000  318000  258000  330000
  246000  330000  282000  342000 -270000  102000  162000
  210000 -258000 -198000 -102000  -54000   30000   78000
  174000  222000 -318000 -174000 -102000  -30000   30000
  102000  174000 -306000 -270000 -198000 -114000  -18000
   42000  114000  174000 -294000 -246000 -162000 -102000
   -6000   54000  126000  174000 -381000 -282000 -222000
 -150000  -78000  -30000   54000  126000  186000 -306000
 -222000 -162000  -90000  -18000   54000  138000  198000
 -258000 -198000 -150000  186000 -318000 -258000 -150000
 -102000  -18000   42000  198000 -318000 -210000 -126000
  -42000    6000   66000  138000  210000 -306000 -210000
 -150000  -66000    6000   78000  150000  210000 -282000
 -198000 -138000  -66000    6000   66000  150000  222000
 -186000 -114000  -54000    6000
DATA_Period:   102.4000
  5.0220E-005 -7.3272E-005  2.0527E-004 -5.5421E-004 -2.2872E-003  3.1213E-003  3.9249E-004 -6.5097E-004
  6.0207E-005 -4.1279E-005  3.3255E-004 -8.6766E-004 -5.2310E-004  1.0600E-003 -6.5898E-004  8.6500E-004
  2.0235E-004 -1.4805E-004  2.9059E-003 -4.6117E-003 -2.2260E-003  2.6446E-003  2.8416E-004  3.0283E-004
 -3.4776E-005  8.6851E-005  1.8168E-004 -5.1554E-004 -3.6113E-005  1.4074E-004  2.0225E-005 -2.3660E-005
 -1.0696E-004 -1.9470E-005  6.1087E-004 -7.3452E-004 -6.5396E-004  5.0656E-004  1.4186E-004 -1.2766E-005
  1.5494E-003 -6.5570E-004  3.2929E-003 -2.8830E-003 -9.5958E-004  5.5160E-004 -1.1901E-003  7.8497E-004
  1.3898E-003 -2.7984E-004  3.6652E-003 -5.4773E-003 -4.1729E-004  1.1722E-003  1.0155E-003 -1.1428E-003
  1.8342E-004 -1.4831E-004  7.8203E-004 -1.0593E-003 -4.0151E-004  6.5154E-004 -7.0477E-004  6.7859E-004
  1.2332E-004 -1.4618E-004  2.3590E-003 -2.9349E-003 -1.8143E-003  2.9181E-003 -1.3885E-003  2.3613E-003
 -4.5035E-004 -1.6775E-004  3.9866E-003 -5.7528E-003 -1.6302E-003  2.8741E-003 -7.4262E-004  1.6020E-003
 -3.1577E-003  3.5444E-003  3.6639E-003 -4.7975E-003 -2.6075E-003  3.4839E-003  1.5835E-003 -1.6704E-003
  6.1779E-004 -1.3278E-003  1.1265E-003 -1.7871E-003 -7.6257E-004  1.2719E-003 -9.1611E-006  2.2458E-004
